functional_group,year,taxa_id,hw_season,season ,absolute_bio,min_size,max_size,temp_opt,,,,,,,
Active Copepod,2,44,Summer,Spring,0.090834416,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,2,47,Summer,Spring,0.078518868,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,55,Summer,Summer,2.633563162,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,46,Summer,Summer,1.587532901,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,47,Summer,Summer,1.01719596,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,54,Summer,Summer,0.960553857,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,45,Summer,Summer,0.279402067,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,55,Summer,Autumn,4.717309189,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Summer,Autumn,3.642186525,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,46,Summer,Autumn,0.919760623,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,47,Summer,Autumn,0.579266479,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,53,Summer,Autumn,0.400624952,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,3,45,Summer,Winter,1.562992129,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,44,Summer,Winter,1.47230461,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,55,Summer,Winter,0.794147323,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Summer,Winter,0.645942921,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,46,Summer,Winter,0.542267787,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,45,Summer,Spring,0.583867678,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,46,Summer,Spring,0.432923292,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,44,Summer,Spring,0.275858457,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,47,Summer,Spring,0.131151235,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,55,Summer,Spring,0.084293069,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,46,Summer,Summer,3.034879214,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Summer,Summer,2.214574067,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,55,Summer,Summer,1.598173776,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,45,Summer,Summer,1.547039591,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,54,Summer,Summer,0.958948895,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,55,Summer,Autumn,3.991316345,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Summer,Autumn,3.702855935,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,46,Summer,Autumn,1.484161675,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Summer,Autumn,1.312184817,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,45,Summer,Autumn,0.863400231,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,44,Summer,Winter,2.358549156,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,45,Summer,Winter,1.888390957,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,55,Summer,Winter,0.897932014,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,46,Summer,Winter,0.866068909,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,54,Summer,Winter,0.691156475,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,45,Summer,Spring,0.671169221,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,46,Summer,Spring,0.569863039,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,44,Summer,Spring,0.36409335,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,47,Summer,Spring,0.214010699,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,55,Summer,Spring,0.094954007,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,46,Summer,Summer,3.669563598,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Summer,Summer,2.71940406,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,45,Summer,Summer,1.698554123,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,55,Summer,Summer,0.94707387,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Summer,Summer,0.616141708,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,55,Summer,Autumn,4.187814546,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Summer,Autumn,3.804085884,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,46,Summer,Autumn,2.139818764,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Summer,Autumn,2.014340517,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,45,Summer,Autumn,1.053198739,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,44,Summer,Winter,2.159499348,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,45,Summer,Winter,2.09423099,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,46,Summer,Winter,1.08721859,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,55,Summer,Winter,0.963573165,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Summer,Winter,0.752977095,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,45,Summer,Spring,0.7294822,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,46,Summer,Spring,0.656008595,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,44,Summer,Spring,0.326112963,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,47,Summer,Spring,0.25813761,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,55,Summer,Spring,0.101888914,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,46,Summer,Summer,3.955269206,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Summer,Summer,2.756773446,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,45,Summer,Summer,1.74442281,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,55,Summer,Summer,0.716820548,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,44,Summer,Summer,0.510804151,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,55,Summer,Autumn,4.204854014,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Summer,Autumn,3.921113785,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,46,Summer,Autumn,2.571974906,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Summer,Autumn,2.328266108,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,45,Summer,Autumn,1.146400484,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,45,Summer,Winter,2.195258546,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,44,Summer,Winter,1.820308013,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,46,Summer,Winter,1.207895017,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,55,Summer,Winter,0.98880634,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Summer,Winter,0.782859557,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,45,Summer,Spring,0.769803015,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,46,Summer,Spring,0.736417091,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Summer,Spring,0.286362614,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,44,Summer,Spring,0.234113208,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,55,Summer,Spring,0.105630038,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,46,Summer,Summer,4.214262997,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Summer,Summer,2.598862618,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,45,Summer,Summer,1.858902774,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,55,Summer,Summer,0.623809149,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,44,Summer,Summer,0.443484357,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,55,Summer,Autumn,4.141360137,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Summer,Autumn,3.944683459,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,46,Summer,Autumn,2.832882068,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Summer,Autumn,2.363689309,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,45,Summer,Autumn,1.243516809,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,53,Autumn,Winter,2.110334955,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,55,Autumn,Winter,1.862475338,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Autumn,Winter,1.355455589,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,52,Autumn,Winter,0.344699654,7.70E-02,7.70E+00,24,,,,,,,
Active Copepod,1,60,Autumn,Winter,0.253652099,7.70E-02,7.70E+00,28,,,,,,,
Active Copepod,1,55,Autumn,Spring,0.194472094,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Autumn,Spring,0.071434881,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,53,Autumn,Spring,0.04336781,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,46,Autumn,Spring,0.036245802,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,47,Autumn,Spring,0.036223065,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,55,Autumn,Summer,3.467049238,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Autumn,Summer,1.957796847,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,46,Autumn,Summer,0.680072372,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,47,Autumn,Summer,0.478698947,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,45,Autumn,Summer,0.120561629,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,55,Autumn,Autumn,5.789170922,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Autumn,Autumn,5.544709476,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,53,Autumn,Autumn,2.372642629,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,46,Autumn,Autumn,0.975455211,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,47,Autumn,Autumn,0.957008126,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,55,Autumn,Winter,0.859029598,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Autumn,Winter,0.672205857,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,53,Autumn,Winter,0.521866244,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,2,44,Autumn,Winter,0.323877258,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,2,45,Autumn,Winter,0.275098003,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,46,Autumn,Spring,0.206843235,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,45,Autumn,Spring,0.2062726,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,44,Autumn,Spring,0.155529354,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,2,55,Autumn,Spring,0.091191941,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,47,Autumn,Spring,0.041505195,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,46,Autumn,Summer,1.986117929,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,55,Autumn,Summer,1.762659837,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,47,Autumn,Summer,1.589104391,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,54,Autumn,Summer,1.15778047,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,45,Autumn,Summer,0.670443193,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,55,Autumn,Autumn,4.883512441,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Autumn,Autumn,4.207696267,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,53,Autumn,Autumn,0.97115087,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,2,46,Autumn,Autumn,0.389208785,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,47,Autumn,Autumn,0.27756281,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,44,Autumn,Winter,2.288303822,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,45,Autumn,Winter,0.981761549,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,55,Autumn,Winter,0.842171032,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Autumn,Winter,0.722384741,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,46,Autumn,Winter,0.517957539,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,44,Autumn,Spring,0.450995909,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,45,Autumn,Spring,0.390882761,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,46,Autumn,Spring,0.38304271,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Autumn,Spring,0.096065744,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,55,Autumn,Spring,0.090231814,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,46,Autumn,Summer,3.063410183,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Autumn,Summer,2.441159386,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,45,Autumn,Summer,1.136083354,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,55,Autumn,Summer,1.10729299,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Autumn,Summer,0.748073344,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,55,Autumn,Autumn,4.373809849,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Autumn,Autumn,4.208427876,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,46,Autumn,Autumn,1.173873158,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Autumn,Autumn,1.003714581,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,53,Autumn,Autumn,0.707207297,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,4,44,Autumn,Winter,3.125117582,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,45,Autumn,Winter,1.312875441,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,55,Autumn,Winter,0.877953557,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Autumn,Winter,0.715506482,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,46,Autumn,Winter,0.701205241,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,46,Autumn,Spring,0.482782547,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,45,Autumn,Spring,0.478565712,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,44,Autumn,Spring,0.462088621,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,47,Autumn,Spring,0.182649156,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,55,Autumn,Spring,0.092680944,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,46,Autumn,Summer,3.595854325,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Autumn,Summer,2.653191476,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,45,Autumn,Summer,1.295420361,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,55,Autumn,Summer,0.792392461,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,44,Autumn,Summer,0.649556829,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,55,Autumn,Autumn,4.164126536,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Autumn,Autumn,4.031525093,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,46,Autumn,Autumn,1.737667446,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Autumn,Autumn,1.71042709,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,53,Autumn,Autumn,0.816504724,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,5,44,Autumn,Winter,2.651234185,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,45,Autumn,Winter,1.724475281,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,46,Autumn,Winter,1.013769362,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,55,Autumn,Winter,0.990528142,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Autumn,Winter,0.758030553,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,46,Autumn,Spring,0.630902852,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,45,Autumn,Spring,0.612532991,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,44,Autumn,Spring,0.392463326,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,47,Autumn,Spring,0.248463738,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,55,Autumn,Spring,0.103761344,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,46,Autumn,Summer,4.08267482,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Autumn,Summer,2.637326929,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,45,Autumn,Summer,1.56476347,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,55,Autumn,Summer,0.656756277,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,44,Autumn,Summer,0.522010463,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,55,Autumn,Autumn,4.389598577,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Autumn,Autumn,4.035069367,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,46,Autumn,Autumn,2.344919288,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Autumn,Autumn,2.199482788,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,53,Autumn,Autumn,0.931786074,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,6,44,Autumn,Winter,2.082487,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,45,Autumn,Winter,1.9920117,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,46,Autumn,Winter,1.173232291,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,55,Autumn,Winter,1.007690598,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Autumn,Winter,0.785747192,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,45,Autumn,Spring,0.73633118,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,46,Autumn,Spring,0.729695209,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Autumn,Spring,0.286536884,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,44,Autumn,Spring,0.252159708,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,55,Autumn,Spring,0.107750052,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,46,Autumn,Summer,4.267934358,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Autumn,Summer,2.510480427,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,45,Autumn,Summer,1.753446933,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,55,Autumn,Summer,0.594467311,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Autumn,Summer,0.41563466,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,55,Autumn,Autumn,4.266464362,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Autumn,Autumn,4.006235282,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,46,Autumn,Autumn,2.745506777,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Autumn,Autumn,2.374279975,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,53,Autumn,Autumn,1.135043044,2.60E-01,2.60E+01,24,,,,,,,
